"countryname","year","lifeladder","loggdppercapita","socialsupport","healthylifeexpectancyatbirth","freedomtomakelifechoices","generosity","perceptionsofcorruption","positiveaffect","negativeaffect","code","house_price","ptr_ratio","r_house_price","rent_price","gini","life_expectancy","social_expenditure","housing_expenditure_ratio","ownership","pri_ratio","employment_rate","idcode","gini_dum","social_expenditure_dum","gini_dum_int","socialexp_dum_int","owner_dum","owner_dum_int","gini_dum_int_sq","soci_ex_2"
"Finland",2013,7.4450002,10.722,0.94099998,70.260002,0.91900003,0.034000002,0.30599999,0.75199997,0.19499999,"FIN",100.4,106.6,102.1,94.199997,0.262,81.099998,29.552,26.554148,67.300003,102.1,68.074997,"Finland",1,1,0.26199999,29.552,1,67.300003,0.068643995,51.8
"Finland",2014,7.3850002,10.714,0.95200002,70.480003,0.93300003,-0.0070000002,0.26499999,0.76599997,0.199,"FIN",100,103,100.5,97.099998,0.257,81.300003,30.285,27.187511,66.400002,101.3,67.949997,"Finland",1,1,0.257,30.285,1,66.400002,0.066049002,52.7
"Finland",2015,7.448,10.716,0.94800001,70.699997,0.93000001,0.105,0.223,0.736,0.191,"FIN",100,100,100,100,0.26,81.599998,30.638,27.898113,65.900002,100,67.550003,"Finland",1,1,0.25999999,30.638,1,65.900002,0.067599997,54
"Finland",2016,7.6599998,10.741,0.954,70.775002,0.94800001,-0.033,0.25,0.76899999,0.182,"FIN",101.3,99,101.1,102.3,0.259,81.5,30.546,28.2857,64.599998,100,68.224998,"Finland",1,1,0.259,30.546,1,64.599998,0.067081004,54.7
"Finland",2017,7.7880001,10.77,0.96399999,70.849998,0.96200001,-0.0080000004,0.192,0.75599998,0.176,"FIN",102.4,98.099998,101.2,104.4,0.266,81.699997,29.674,28.549706,64.599998,99,69.074997,"Finland",1,1,0.266,29.674,1,64.599998,0.070756003,55.1
"Finland",2018,7.8579998,10.78,0.96200001,70.925003,0.93800002,-0.133,0.199,0.74900001,0.182,"FIN",103.3,97.199997,100.8,106.4,0.269,81.800003,29.391001,28.587164,64.699997,97,71.150002,"Finland",1,1,0.26899999,29.391001,1,64.699997,0.072361,55
"Finland",2019,7.7800002,10.791,0.93699998,71,0.94800001,-0.057999998,0.19499999,0.73199999,0.18099999,"FIN",103.8,95.599998,100.3,108.5,0.273,82.099998,29.454,28.830301,64,94.599998,72,"Finland",1,1,0.273,29.454,1,64,0.074529,55.2
"France",2012,6.6490002,10.664,0.93699998,71.400002,0.84100002,-0.155,0.60799998,0.70499998,0.25299999,"FRA",106,109.5,107.1,96.800003,NA,82.099998,31.177,26.126055,60.599998,107,64.375,"France",0,1,0,31.177,1,60.599998,0,54.6
"France",2013,6.6669998,10.665,0.90799999,71.5,0.87800002,-0.13,0.699,0.741,0.205,"FRA",103.8,105.6,104.2,98.300003,NA,82.400002,32.325001,26.601458,61.099998,105.6,64.375,"France",0,1,0,32.325001,1,61.099998,0,55.3
"France",2014,6.467,10.669,0.87800002,71.599998,0.80299997,-0.124,0.65600002,0.759,0.21600001,"FRA",101.9,102.6,102.2,99.400002,NA,82.900002,32.647999,26.501879,61.400002,102.7,64.525002,"France",0,1,0,32.647999,1,61.400002,0,55.9
"France",2015,6.3579998,10.677,0.89600003,71.699997,0.81699997,-0.145,0.64099997,0.74000001,0.215,"FRA",100,100,100,100,NA,82.400002,32.465,26.465874,60.900002,100,64.699997,"France",0,1,0,32.465,1,60.900002,0,55.9
"France",2016,6.4749999,10.685,0.88499999,71.800003,0.787,-0.097000003,0.62300003,0.71499997,0.27000001,"FRA",100.9,100.6,100.7,100.3,NA,82.699997,32.639999,26.420404,61.5,99.599998,65,"France",0,1,0,32.639999,1,61.5,0,56.3
"France",2017,6.6350002,10.705,0.93099999,71.900002,0.83399999,-0.12899999,0.60100001,0.71600002,0.242,"FRA",104,103.4,103,100.5,NA,82.699997,32.16,26.169289,61,100.5,65.550003,"France",0,1,0,32.16,1,61,0,55.7
"France",2018,6.6659999,10.72,0.921,72,0.81599998,-0.14300001,0.58200002,0.70499998,0.28200001,"FRA",107.1,106.9,104.1,100.2,NA,82.800003,31.728001,26.131699,61.900002,101.3,66.150002,"France",0,1,0,31.728001,1,61.900002,0,55.7
"France",2019,6.6900001,10.735,0.958,72.099998,0.82700002,-0.139,0.56800002,0.69300002,0.25,"FRA",110.7,109.9,106.7,100.7,NA,83,31.489,26.237085,60.599998,101.7,66.375,"France",0,1,0,31.489,1,60.599998,0,55.5
"Germany",2012,6.7020001,10.817,0.926,70.040001,0.90399998,0.064999998,0.67900002,0.699,0.17,"DEU",89.800003,93.400002,92.599998,96.099998,0.289,80.699997,26.982,24.855179,44.799999,94.699997,72.050003,"Germany",1,1,0.289,26.982,1,44.799999,0.083521001,54.9
"Germany",2013,6.9650002,10.819,0.93099999,70.059998,0.89399999,0.017999999,0.56599998,0.69300002,0.205,"DEU",92.5,95,94,97.400002,0.292,80.599998,27.266001,25.234655,NA,96.599998,72.525002,"Germany",1,1,0.292,27.266001,0,0,0.085263997,55.3
"Germany",2014,6.9840002,10.837,0.93800002,70.080002,0.89899999,0.082000002,0.47400001,0.73900002,0.18799999,"DEU",95.5,96.599998,96,98.800003,0.289,81.199997,27.143,24.718151,45,97.5,72.800003,"Germany",1,1,0.289,27.143,1,45,0.083521001,56
"Germany",2015,7.0370002,10.843,0.926,70.099998,0.889,0.17200001,0.412,0.722,0.20299999,"DEU",100,100,100,100,0.293,80.699997,27.459999,24.505621,43.799999,100,73,"Germany",1,1,0.29300001,27.459999,1,43.799999,0.085849009,56.8
"Germany",2016,6.8740001,10.857,0.90600002,70.300003,0.87099999,0.142,0.44600001,0.70899999,0.18700001,"DEU",107.4,106.2,106.7,101.1,0.294,81,27.714001,24.229965,44.200001,105,73.675003,"Germany",1,1,0.294,27.714001,1,44.200001,0.086436003,57
"Germany",2017,7.0739999,10.879,0.89200002,70.5,0.84100002,0.139,0.414,0.70700002,0.19599999,"DEU",114,111.2,111.4,102.5,0.289,81.099998,27.695999,24.130062,43.799999,108.2,74.25,"Germany",1,1,0.289,27.695999,1,43.799999,0.083521001,57.1
"Germany",2018,7.118,10.886,0.92000002,70.699997,0.87699997,0.028000001,0.49599999,0.74000001,0.243,"DEU",121.6,116.8,116.8,104.1,0.289,81,27.826,24.042629,44.099998,111.2,74.900002,"Germany",1,1,0.289,27.826,1,44.099998,0.083521001,57
"Germany",2019,7.0349998,10.894,0.88599998,70.900002,0.88499999,0.050999999,0.46200001,0.71200001,0.226,"DEU",128.60001,121.9,121.8,105.6,0.296,81.300003,28.18,24.001806,43.799999,115.1,75.650002,"Germany",1,1,0.296,28.18,1,43.799999,0.087616004,56.9
"Greece",2012,5.0960002,10.251,0.81199998,70.160004,0.373,-0.31,0.95899999,0.54400003,0.352,"GRC",127.7,105,121,121.6,0.338,80.699997,27.955999,24.114151,73.099998,122.6,50.424999,"Greece",1,1,0.338,27.955999,1,73.099998,0.114244,48.4
"Greece",2013,4.7199998,10.233,0.68699998,70.239998,0.426,-0.27700001,0.94099998,0.57099998,0.48199999,"GRC",113.8,100.4,109.7,113.3,0.342,81.400002,26.143,23.168129,72.800003,116.1,48.474998,"Greece",1,1,0.34200001,26.143,1,72.800003,0.116964,40.5
"Greece",2014,4.756,10.245,0.83200002,70.32,0.36899999,-0.29300001,0.93000001,0.597,0.38499999,"GRC",105.3,100.7,104,104.6,0.339,81.5,26.121,22.128584,72.099998,106.3,49.224998,"Greece",1,1,0.33899999,26.121,1,72.099998,0.11492099,50.3
